n, p, P
1, 0.313165528843603269137923, 0.858407346410206884002037
2, 0.0801251946690752697822535, 0.172115845394967274415547
3, 0.0201475013317411782164235, 0.0410052244847349945875865
4, 0.00504416304385420508082347, 0.0101322538394629824723365
5, 0.00126149663504055785834347, 0.00252573165611114674399653
6, 0.000315402657020602433783469, 0.000630976352663729388216531
7, 0.0000788524454923942473834685, 0.000157715579173343109216531
8, 0.0000197132227020864601234685, 0.0000394271133886897207165315
9, 0.00000492831263376997207346854, 0.00000985666701583076569653146
10, 0.00000123207859349660420346854, 0.00000246415979593435508653146
11, 3.08019675728262103468544E-7, 6.16039514194791456531456E-7
12, 7.70049208049209634685442E-8, 1.54009851460530256531456E-7
13, 1.92512304815071034685442E-8, 3.85024612582304165314558E-8
14, 4.81280780111748346854419E-9, 9.62561530023417653145581E-9
15, 1.20320212479906346854419E-9, 2.40640391027127653145581E-9
16, 3.00800705330643468544185E-10, 6.01601069001576531455815E-10
17, 7.52003504392434685441852E-11, 1.50400359072956531455815E-10
18, 1.88002617148834685441852E-11, 3.76001816150965314558148E-11
19, 4.70023953370346854418516E-12, 9.40013725215653145581484E-12
20, 1.17523398839346854418516E-12, 2.35012616152653145581484E-12
21, 2.93982602063468544185162E-13, 5.87623388866531455814838E-13
22, 7.36697554834685441851616E-14, 1.46997695706531455814838E-13
23, 1.85915438434685441851616E-14, 3.68412724065314558148384E-14
24, 4.82199092346854418516159E-15, 9.30216659653145581483841E-15
25, 1.37960270346854418516159E-15, 2.41739013653145581483841E-15
26, 5.19005643468544185161591E-16, 6.96196026531455814838409E-16
27, 3.03856383468544185161591E-16, 2.65897496531455814838409E-16
28, 2.50069053468544185161591E-16, 1.58322876531455814838409E-16
29, 2.36622223468544185161591E-16, 1.31429216531455814838409E-16
30, 2.33260523468544185161591E-16, 1.24705796531455814838409E-16
31, 2.32420083468544185161591E-16, 1.23024936531455814838409E-16
32, 2.32209983468544185161591E-16, 1.22604736531455814838409E-16
33, 2.32157443468544185161591E-16, 1.22499676531455814838409E-16
34, 2.32144323468544185161591E-16, 1.22473396531455814838409E-16
35, 2.32141033468544185161591E-16, 1.22466836531455814838409E-16
36, 2.32140203468544185161591E-16, 1.22465196531455814838409E-16
37, 2.32140003468544185161591E-16, 1.22464796531455814838409E-16
38, 2.32139963468544185161591E-16, 1.22464686531455814838409E-16
39, 2.32139943468544185161591E-16, 1.22464666531455814838409E-16
40, 2.32139943468544185161591E-16, 1.22464656531455814838409E-16
41, 2.32139923468544185161591E-16, 1.22464636531455814838409E-16
42, 2.32139923468544185161591E-16, 1.22464636531455814838409E-16
43, 2.32139933468544185161591E-16, 1.22464636531455814838409E-16
44, 2.32139943468544185161591E-16, 1.22464636531455814838409E-16
45, 2.32139943468544185161591E-16, 1.22464636531455814838409E-16
46, 2.32139943468544185161591E-16, 1.22464646531455814838409E-16
47, 2.32139943468544185161591E-16, 1.22464646531455814838409E-16
48, 2.32139963468544185161591E-16, 1.22464636531455814838409E-16
49, 2.32139963468544185161591E-16, 1.22464636531455814838409E-16
50, 2.32139963468544185161591E-16, 1.22464636531455814838409E-16
51, 2.32139963468544185161591E-16, 1.22464636531455814838409E-16
52, 2.32139963468544185161591E-16, 1.22464636531455814838409E-16
53, 2.32139963468544185161591E-16, 1.22464636531455814838409E-16
54, 2.32139963468544185161591E-16, 1.22464636531455814838409E-16
55, 2.32139963468544185161591E-16, 1.22464636531455814838409E-16
56, 2.32139973468544185161591E-16, 1.22464636531455814838409E-16
57, 2.32139973468544185161591E-16, 1.22464636531455814838409E-16
58, 2.32139973468544185161591E-16, 1.22464636531455814838409E-16
59, 2.32139983468544185161591E-16, 1.22464636531455814838409E-16
60, 2.32139973468544185161591E-16, 1.22464636531455814838409E-16
61, 2.32139983468544185161591E-16, 1.22464636531455814838409E-16
62, 2.32139983468544185161591E-16, 1.22464636531455814838409E-16
63, 2.32139973468544185161591E-16, 1.22464636531455814838409E-16
64, 2.32139973468544185161591E-16, 1.22464646531455814838409E-16
